wavelength,species,ep,gf,iris,HIP58067,HIP58073,HIP62596,HIP62596B,HIP89270,HIP89275,HIP99727,HIP99729
4508.29,26.1,2.856,-2.52,81.7,74.3,73.4,97,97.5,90.8,90.6,91.5,91.9
4576.333,26.1,2.844,-2.95,65.5,58.4,54.8,80.4,80.9,67.3,66.6,77.4,79.7
4620.513,26.1,2.828,-3.21,54.6,44.5,43.3,64.2,63.7,55.2,52.5,68.3,70.7
4993.34,26.1,2.81,-3.73,38.3,32.3,31.3,40.1,39.8,32.7,33.2,51,52.1
5197.577,26.1,3.231,-2.22,77.4,68.9,66.1,83.7,83.7,82.1,78.6,89.8,90.4
5234.624,26.1,3.221,-2.18,82.9,73,71.8,97.6,97.1,89,87,96.4,97.5
5264.804,26.1,3.23,-3.13,45.9,37.7,33.5,51,49.4,44.8,44,56.9,57.4
5325.55,26.1,3.22,-3.25,41,34.9,30.3,50.6,50.6,41.4,40,51,52
5414.072,26.1,3.221,-3.58,29.6,23.8,22.1,31.2,29.6,29.1,29.3,38.7,38.5
5425.257,26.1,3.2,-3.22,41.9,35.1,32.9,52.3,53.5,42.8,42,54.9,56.5
6084.09,26.1,3.2,-3.83,21.3,15.7,14.8,29.7,29.4,18.7,19.6,30.7,31.6
6149.24,26.1,3.89,-2.75,35.3,28.4,25,49,49.6,39.3,37.8,47.8,46.5
6247.55,26.1,3.89,-2.38,52.3,43.4,38.5,73.6,70,61.3,57,65.6,67.1
6369.462,26.1,2.891,-4.11,19.4,15,12.8,27.7,26.5,21.2,18.3,30.1,31.6
6416.92,26.1,3.89,-2.75,40.1,33.3,31.9,52.6,52.8,37.8,38.2,53,53.8
6432.676,26.1,2.891,-3.57,42.6,33.6,30.3,54.2,53.6,42,41.6,55.8,57.7
6456.383,26.1,3.9036,-2.05,61.4,53,49.9,74.7,73.6,64.8,62.6,72.7,74.8
7515.831,26.1,3.903,-3.39,14.2,10,8.3,23.4,22.5,15.8,14.2,20.8,21.1
