wavelength,species,ep,gf,HIP58067,HIP58073,HIP62596,HIP62596B,HIP89270,HIP89275,HIP99727,HIP99729,iris
4820.41,22.0,1.5,-0.39,48.0,54.0,31.7,31.7,22.0,21.3,57.4,62.1,42.5
4840.88,22.0,0.9,-0.45,67.9,73.8,54.8,52.3,40.5,38.4,78.1,81.4,66.7
4858.14,22.0,4.102,-0.14,3.8,13.5,,,3.0,2.0,25.5,23.3,11.8
4874.88,22.0,3.32,-0.39,25.2,27.4,18.3,19.7,10.9,10.3,39.5,42.1,26.2
4913.616,22.0,1.87,0.22,54.1,58.2,37.6,37.3,26.7,26.1,62.4,64.7,51.5
4964.715,22.0,1.969,-0.82,8.4,11.5,0.3,0.2,,,11.9,15.0,7.9
4997.1,22.0,0.0,-2.174,33.8,41.4,16.0,12.8,10.0,8.9,38.8,47.4,31.9
4999.5,22.0,0.83,0.27,110.2,119.6,96.8,95.5,82.1,83.6,117.3,122.2,105.0
5016.162,22.0,0.85,-0.52,68.4,75.7,51.7,51.6,37.4,39.7,81.4,86.0,66.3
5022.866,22.0,0.826,-0.378,74.2,81.2,61.4,60.4,46.2,48.1,84.2,89.8,73.1
5024.85,22.0,0.818,-0.56,74.5,80.9,58.0,58.4,40.0,41.9,85.7,88.7,72.3
5039.96,22.0,0.02,-1.199,78.9,84.7,65.8,64.3,52.4,51.6,94.3,99.1,77.7
5064.06,22.0,2.69,-0.471,6.3,6.5,3.5,3.5,2.1,1.6,9.8,11.1,5.7
5071.49,22.0,1.46,-0.797,30.5,36.3,20.0,21.3,10.1,10.1,42.0,44.6,30.2
5087.06,22.0,1.43,-0.78,32.8,35.7,17.3,14.1,10.1,8.2,42.3,43.0,27.9
5113.439,22.0,1.443,-0.727,29.2,35.5,16.8,16.3,10.6,12.1,36.1,39.8,26.4
5145.459,22.0,1.46,-0.518,37.6,42.8,19.8,17.5,11.9,11.8,45.9,49.1,35.9
5147.477,22.0,0.0,-1.956,41.9,50.0,20.2,21.9,14.5,15.4,49.2,53.0,37.7
5152.184,22.0,0.021,-1.968,42.2,48.1,20.4,17.4,12.0,11.7,48.8,52.6,37.3
5186.33,22.0,2.117,-0.77,7.4,9.9,,,2.0,1.0,9.1,10.2,6.5
5192.97,22.0,0.02,-0.99,84.0,93.1,70.1,69.8,54.7,55.2,95.8,99.7,81.8
5210.38,22.0,0.05,-0.85,96.2,103.6,75.3,74.4,62.7,62.0,104.5,110.1,89.2
5219.699,22.0,0.021,-2.236,32.3,38.6,13.5,13.3,8.2,10.0,40.3,45.0,28.8
5223.62,22.0,2.092,-0.49,2.3,5.9,7.8,8.4,7.3,4.8,23.7,26.2,15.6
5224.304,22.0,2.134,0.13,46.1,46.3,7.2,5.2,19.8,24.9,49.6,51.5,41.1
5247.288,22.0,2.103,-0.64,10.8,13.8,4.4,3.6,3.8,3.3,13.5,15.4,8.9
5252.098,22.0,0.048,-2.392,24.1,29.8,2.1,2.0,9.2,-2.3,29.9,,20.3
4874.7929,28.0,3.543,-1.45,25.2,27.4,18.3,19.7,10.9,10.3,39.5,42.1,26.2
